Date : 2025-04-15 22:55:55
Directory : /home/saransh/Projects/Cypherrock
Total : 3927 files,  693559 codes, 78553 comments, 103649 blanks, all 875761 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| trezor-firmware/core/embed/models/D002                                                                                                                    |          6 |        200 |          4 |         30 |        234 |
| trezor-firmware/core/embed/models/D002 (Files)                                                                                                            |          3 |        133 |          2 |         20 |        155 |
| trezor-firmware/core/embed/models/D002/boards                                                                                                             |          1 |         27 |          2 |          8 |         37 |
| trezor-firmware/core/embed/models/D002/vendorheader                                                                                                       |          2 |         40 |          0 |          2 |         42 |
| trezor-firmware/core/embed/models/T1B1                                                                                                                    |          6 |      1,252 |          2 |         28 |      1,282 |
| trezor-firmware/core/embed/models/T1B1 (Files)                                                                                                            |          4 |      1,205 |          2 |         13 |      1,220 |
| trezor-firmware/core/embed/models/T1B1/boards                                                                                                             |          2 |         47 |          0 |         15 |         62 |
| trezor-firmware/core/embed/models/T2B1                                                                                                                    |         15 |      1,579 |          8 |         69 |      1,656 |
| trezor-firmware/core/embed/models/T2B1 (Files)                                                                                                            |          4 |      1,313 |          3 |         19 |      1,335 |
| trezor-firmware/core/embed/models/T2B1/boards                                                                                                             |          5 |        150 |          0 |         39 |        189 |
| trezor-firmware/core/embed/models/T2B1/bootloaders                                                                                                        |          1 |          7 |          5 |          6 |         18 |
| trezor-firmware/core/embed/models/T2B1/vendorheader                                                                                                       |          5 |        109 |          0 |          5 |        114 |
| trezor-firmware/core/embed/models/T2T1                                                                                                                    |         12 |      5,660 |         10 |         51 |      5,721 |
| trezor-firmware/core/embed/models/T2T1 (Files)                                                                                                            |          5 |      5,485 |          4 |         21 |      5,510 |
| trezor-firmware/core/embed/models/T2T1/boards                                                                                                             |          2 |         81 |          1 |         20 |        102 |
| trezor-firmware/core/embed/models/T2T1/bootloaders                                                                                                        |          1 |          7 |          5 |          6 |         18 |
| trezor-firmware/core/embed/models/T2T1/vendorheader                                                                                                       |          4 |         87 |          0 |          4 |         91 |
| trezor-firmware/core/embed/models/T3B1                                                                                                                    |         11 |        311 |          6 |         50 |        367 |
| trezor-firmware/core/embed/models/T3B1 (Files)                                                                                                            |          3 |        133 |          1 |         21 |        155 |
| trezor-firmware/core/embed/models/T3B1/boards                                                                                                             |          2 |         71 |          0 |         18 |         89 |
| trezor-firmware/core/embed/models/T3B1/bootloaders                                                                                                        |          1 |          7 |          5 |          6 |         18 |
| trezor-firmware/core/embed/models/T3B1/vendorheader                                                                                                       |          5 |        100 |          0 |          5 |        105 |
| trezor-firmware/core/embed/models/T3T1                                                                                                                    |         14 |      4,669 |          7 |         82 |      4,758 |
| trezor-firmware/core/embed/models/T3T1 (Files)                                                                                                            |          5 |      4,373 |          2 |         37 |      4,412 |
| trezor-firmware/core/embed/models/T3T1/boards                                                                                                             |          3 |        189 |          0 |         34 |        223 |
| trezor-firmware/core/embed/models/T3T1/bootloaders                                                                                                        |          1 |          7 |          5 |          6 |         18 |
| trezor-firmware/core/embed/models/T3T1/vendorheader                                                                                                       |          5 |        100 |          0 |          5 |        105 |
| trezor-firmware/core/embed/prodtest                                                                                                                       |          9 |      1,911 |        176 |        426 |      2,513 |
| trezor-firmware/core/embed/reflash                                                                                                                        |          2 |         81 |         18 |         27 |        126 |
| trezor-firmware/core/embed/rust                                                                                                                           |        347 |     59,765 |      6,464 |      8,719 |     74,948 |
| trezor-firmware/core/embed/rust (Files)                                                                                                                   |         11 |      1,705 |         75 |         69 |      1,849 |
| trezor-firmware/core/embed/rust/fuzz                                                                                                                      |          1 |          4 |          1 |          3 |          8 |
| trezor-firmware/core/embed/rust/fuzz/fuzz_targets                                                                                                         |          1 |          4 |          1 |          3 |          8 |
| trezor-firmware/core/embed/rust/src                                                                                                                       |        335 |     58,056 |      6,388 |      8,647 |     73,091 |
| trezor-firmware/core/embed/rust/src (Files)                                                                                                               |          9 |        929 |        112 |        166 |      1,207 |
| trezor-firmware/core/embed/rust/src/crypto                                                                                                                |          6 |        225 |         17 |         50 |        292 |
| trezor-firmware/core/embed/rust/src/micropython                                                                                                           |         20 |      1,647 |        589 |        345 |      2,581 |
| trezor-firmware/core/embed/rust/src/protobuf                                                                                                              |          7 |        855 |        144 |        131 |      1,130 |
| trezor-firmware/core/embed/rust/src/storage                                                                                                               |          1 |         55 |          1 |         10 |         66 |
| trezor-firmware/core/embed/rust/src/translations                                                                                                          |          8 |      4,646 |        225 |        119 |      4,990 |
| trezor-firmware/core/embed/rust/src/translations (Files)                                                                                                  |          6 |        550 |        222 |        113 |        885 |
| trezor-firmware/core/embed/rust/src/translations/generated                                                                                                |          2 |      4,096 |          3 |          6 |      4,105 |
| trezor-firmware/core/embed/rust/src/trezorhal                                                                                                             |         21 |      1,377 |        359 |        262 |      1,998 |
| trezor-firmware/core/embed/rust/src/ui                                                                                                                    |        263 |     48,322 |      4,941 |      7,564 |     60,827 |
| trezor-firmware/core/embed/rust/src/ui (Files)                                                                                                            |         10 |      1,161 |        134 |        232 |      1,527 |
| trezor-firmware/core/embed/rust/src/ui/api                                                                                                                |          3 |        185 |          4 |         34 |        223 |
| trezor-firmware/core/embed/rust/src/ui/component                                                                                                          |         28 |      4,491 |        465 |        767 |      5,723 |
| trezor-firmware/core/embed/rust/src/ui/component (Files)                                                                                                  |         21 |      2,649 |        167 |        480 |      3,296 |
| trezor-firmware/core/embed/rust/src/ui/component/text                                                                                                     |          7 |      1,842 |        298 |        287 |      2,427 |
| trezor-firmware/core/embed/rust/src/ui/display                                                                                                            |         12 |      2,718 |        205 |        480 |      3,403 |
| trezor-firmware/core/embed/rust/src/ui/display (Files)                                                                                                    |          6 |      1,909 |        173 |        358 |      2,440 |
| trezor-firmware/core/embed/rust/src/ui/display/loader                                                                                                     |          6 |        809 |         32 |        122 |        963 |
| trezor-firmware/core/embed/rust/src/ui/flow                                                                                                               |          4 |        444 |         81 |         82 |        607 |
| trezor-firmware/core/embed/rust/src/ui/layout                                                                                                             |          5 |        764 |         60 |        126 |        950 |
| trezor-firmware/core/embed/rust/src/ui/model_mercury                                                                                                      |         71 |     14,654 |        976 |      2,108 |     17,738 |
| trezor-firmware/core/embed/rust/src/ui/model_mercury (Files)                                                                                              |          4 |      1,155 |        502 |        214 |      1,871 |
| trezor-firmware/core/embed/rust/src/ui/model_mercury/bootloader                                                                                           |          4 |        753 |          5 |        112 |        870 |
| trezor-firmware/core/embed/rust/src/ui/model_mercury/component                                                                                            |         38 |      8,458 |        347 |      1,296 |     10,101 |
| trezor-firmware/core/embed/rust/src/ui/model_mercury/component (Files)                                                                                    |         30 |      6,518 |        134 |      1,006 |      7,658 |
| trezor-firmware/core/embed/rust/src/ui/model_mercury/component/keyboard                                                                                   |          8 |      1,940 |        213 |        290 |      2,443 |
| trezor-firmware/core/embed/rust/src/ui/model_mercury/cshape                                                                                               |          4 |        171 |         22 |         51 |        244 |
| trezor-firmware/core/embed/rust/src/ui/model_mercury/flow                                                                                                 |         18 |      3,149 |         44 |        333 |      3,526 |
| trezor-firmware/core/embed/rust/src/ui/model_mercury/theme                                                                                                |          3 |        968 |         56 |        102 |      1,126 |
| trezor-firmware/core/embed/rust/src/ui/model_tr                                                                                                           |         47 |      9,719 |      1,349 |      1,497 |     12,565 |
| trezor-firmware/core/embed/rust/src/ui/model_tr (Files)                                                                                                   |          5 |      1,512 |        406 |        262 |      2,180 |
| trezor-firmware/core/embed/rust/src/ui/model_tr/bootloader                                                                                                |          4 |        737 |          7 |        133 |        877 |
| trezor-firmware/core/embed/rust/src/ui/model_tr/component                                                                                                 |         31 |      7,018 |        897 |      1,024 |      8,939 |
| trezor-firmware/core/embed/rust/src/ui/model_tr/component (Files)                                                                                         |         23 |      5,112 |        609 |        735 |      6,456 |
| trezor-firmware/core/embed/rust/src/ui/model_tr/component/input_methods                                                                                   |          8 |      1,906 |        288 |        289 |      2,483 |
| trezor-firmware/core/embed/rust/src/ui/model_tr/cshape                                                                                                    |          5 |        323 |         26 |         61 |        410 |
| trezor-firmware/core/embed/rust/src/ui/model_tr/theme                                                                                                     |          2 |        129 |         13 |         17 |        159 |
| trezor-firmware/core/embed/rust/src/ui/model_tt                                                                                                           |         41 |     10,343 |        937 |      1,436 |     12,716 |
| trezor-firmware/core/embed/rust/src/ui/model_tt (Files)                                                                                                   |          3 |      1,625 |        457 |        242 |      2,324 |
| trezor-firmware/core/embed/rust/src/ui/model_tt/bootloader                                                                                                |          4 |        697 |          5 |        106 |        808 |
| trezor-firmware/core/embed/rust/src/ui/model_tt/component                                                                                                 |         31 |      7,127 |        441 |        995 |      8,563 |
| trezor-firmware/core/embed/rust/src/ui/model_tt/component (Files)                                                                                         |         21 |      4,245 |        167 |        575 |      4,987 |
| trezor-firmware/core/embed/rust/src/ui/model_tt/component/homescreen                                                                                      |          2 |      1,149 |         29 |        165 |      1,343 |
| trezor-firmware/core/embed/rust/src/ui/model_tt/component/keyboard                                                                                        |          8 |      1,733 |        245 |        255 |      2,233 |
| trezor-firmware/core/embed/rust/src/ui/model_tt/theme                                                                                                     |          3 |        894 |         34 |         93 |      1,021 |
| trezor-firmware/core/embed/rust/src/ui/shape                                                                                                              |         42 |      3,843 |        730 |        802 |      5,375 |
| trezor-firmware/core/embed/rust/src/ui/shape (Files)                                                                                                      |         16 |      1,526 |        277 |        297 |      2,100 |
| trezor-firmware/core/embed/rust/src/ui/shape/cache                                                                                                        |          5 |        534 |         93 |        106 |        733 |
| trezor-firmware/core/embed/rust/src/ui/shape/canvas                                                                                                       |          6 |      1,029 |        158 |        206 |      1,393 |
| trezor-firmware/core/embed/rust/src/ui/shape/display                                                                                                      |          9 |        320 |         80 |        104 |        504 |
| trezor-firmware/core/embed/rust/src/ui/shape/utils                                                                                                        |          6 |        434 |        122 |         89 |        645 |
| trezor-firmware/core/embed/segger                                                                                                                         |         13 |      3,767 |      3,960 |        507 |      8,234 |
| trezor-firmware/core/embed/segger/Config                                                                                                                  |          3 |        284 |        292 |         54 |        630 |
| trezor-firmware/core/embed/segger/SEGGER                                                                                                                  |         10 |      3,483 |      3,668 |        453 |      7,604 |
| trezor-firmware/core/embed/segger/SEGGER (Files)                                                                                                          |          9 |      3,465 |      3,570 |        444 |      7,479 |
| trezor-firmware/core/embed/segger/SEGGER/Syscalls                                                                                                         |          1 |         18 |         98 |          9 |        125 |
| trezor-firmware/core/embed/trezorhal                                                                                                                      |        267 |     31,548 |     11,746 |      7,744 |     51,038 |
| trezor-firmware/core/embed/trezorhal (Files)                                                                                                              |         40 |        906 |        962 |        373 |      2,241 |
| trezor-firmware/core/embed/trezorhal/optiga                                                                                                               |          3 |      1,938 |        350 |        428 |      2,716 |
| trezor-firmware/core/embed/trezorhal/stm32f4                                                                                                              |        101 |     11,641 |      4,827 |      3,153 |     19,621 |
| trezor-firmware/core/embed/trezorhal/stm32f4 (Files)                                                                                                      |         37 |      3,422 |      1,384 |        925 |      5,731 |
| trezor-firmware/core/embed/trezorhal/stm32f4/displays                                                                                                     |         18 |      2,029 |        514 |        498 |      3,041 |
| trezor-firmware/core/embed/trezorhal/stm32f4/displays (Files)                                                                                             |         10 |      1,657 |        436 |        401 |      2,494 |
| trezor-firmware/core/embed/trezorhal/stm32f4/displays/panels                                                                                              |          8 |        372 |         78 |         97 |        547 |
| trezor-firmware/core/embed/trezorhal/stm32f4/touch                                                                                                        |          6 |        695 |        412 |        245 |      1,352 |
| trezor-firmware/core/embed/trezorhal/stm32f4/touch (Files)                                                                                                |          4 |        672 |        369 |        232 |      1,273 |
| trezor-firmware/core/embed/trezorhal/stm32f4/touch/panels                                                                                                 |          2 |         23 |         43 |         13 |         79 |
| trezor-firmware/core/embed/trezorhal/stm32f4/usb                                                                                                          |         14 |      3,222 |      1,519 |        890 |      5,631 |
| trezor-firmware/core/embed/trezorhal/stm32f4/xdisplay                                                                                                     |         26 |      2,273 |        998 |        595 |      3,866 |
| trezor-firmware/core/embed/trezorhal/stm32f4/xdisplay/st-7789                                                                                             |         19 |      1,206 |        553 |        317 |      2,076 |
| trezor-firmware/core/embed/trezorhal/stm32f4/xdisplay/st-7789 (Files)                                                                                     |          9 |        708 |        289 |        186 |      1,183 |
| trezor-firmware/core/embed/trezorhal/stm32f4/xdisplay/st-7789/panels                                                                                      |         10 |        498 |        264 |        131 |        893 |
| trezor-firmware/core/embed/trezorhal/stm32f4/xdisplay/stm32f429i-disc1                                                                                    |          5 |        562 |        297 |        152 |      1,011 |
| trezor-firmware/core/embed/trezorhal/stm32f4/xdisplay/ug-2828                                                                                             |          1 |        248 |         90 |         61 |        399 |
| trezor-firmware/core/embed/trezorhal/stm32f4/xdisplay/vg-2864                                                                                             |          1 |        257 |         58 |         65 |        380 |
| trezor-firmware/core/embed/trezorhal/stm32u5                                                                                                              |         97 |     15,172 |      5,177 |      3,408 |     23,757 |
| trezor-firmware/core/embed/trezorhal/stm32u5 (Files)                                                                                                      |         38 |      3,958 |      1,172 |        987 |      6,117 |
